name	sentence_id	paragraph_id	text_issue_date	text_publ_id
Kalastustentarkastaja J.	40422	1	1907	0039-5528
Aaro Pitkänen	40452	7	1907	0039-5528
Jussi Suomalainen	40453	0	1907	0039-5528
Anders Forsbergille	40454	1	1907	0039-5528
J. Alb	40509	4	1907	0039-5528
John Henricsson	40510	4	1907	0039-5528
Karl Nordberg	40510	4	1907	0039-5528
Gunnar Holm	40535	6	1907	0039-5528
Viljami Suomalainen	40536	7	1907	0039-5528
Karl Nordberg John	40544	12	1907	0039-5528
Andreas Ottcrström	40632	8	1907	0039-5528
Andreas Otterströmiltä	40644	1	1907	0039-5528
Wiljami Suomalainen	40978	4	1907	0039-5528
Carl Pettersson	41011	2	1907	0039-5528
Carl Pettersson	41038	2	1907	0039-5528
Åke Lönnbergin	41094	1	1907	0039-5528
Oskar Krook	41111	1	1907	0039-5528
John Vikström	41122	2	1907	0039-5528
Aaro Pitkänen Tammiosta	41145	6	1907	0039-5528
Oskar Krook	41181	4	1907	0039-5528
Matti Niemelä	41285	2	1907	0039-5528
Herra Söllingin	41302	1	1907	0039-5528
Axel Stenberg	41328	5	1907	0039-5528
Fritz Schröder	41345	7	1907	0039-5528
Otto Lucander	41349	3	1907	0039-5528
Aaro Pitkänen	41360	1	1907	0039-5528
Lind Johansen	41383	1	1907	0039-5528
Kalastustentarkastaja J.	41421	1	1907	0039-5528
J. Alb	41468	5	1907	0039-5528
Nils Bergström	42018	6	1907	0039-5528
G. Wobstin	42019	6	1907	0039-5528
Aaro Pitkänen	42162	5	1907	0039-5528
H. Saurén	42213	3	1907	0039-5528
Kalastustentarkastelija J.	42482	3	1907	0039-5528
Herra Uuno	42512	5	1907	0039-5528
Ida Ekman	42518	2	1907	0039-5528
Karl Ekman'in	42519	2	1907	0039-5528
Fredrik Bastraan'ilta	42621	3	1907	0039-5528
J. Alb	42628	5	1907	0039-5528
Kalastustentarkastaja J.	42742	1	1907	0039-5528
J. Alb	42776	2	1907	0039-5528
Tirehtööri Bernh	42801	3	1907	0039-5528
Hugo Standertskjöldin	42845	4	1907	0039-5528
A. Th	42858	3	1907	0039-5528
Emil Elenius	42890	1	1907	0039-5528
Anders Forsberg	42890	1	1907	0039-5528
Axel Juselius	42890	1	1907	0039-5528
Verner Lindbohm	42890	1	1907	0039-5528
Jacob Näs	42890	1	1907	0039-5528
Aaro Pitkänen	42890	1	1907	0039-5528
J. Suomalainen	42890	1	1907	0039-5528
Viljami Suomalainen	42890	1	1907	0039-5528
Aaro Pitkänen	42913	1	1907	0039-5528
Jussi Suomalainen	42913	1	1907	0039-5528
Anders Forsbergille	42913	1	1907	0039-5528
Alexander Aminoff	42922	2	1907	0039-5528
Emil Axelin	42922	2	1907	0039-5528
Gerhard Pehr Alopaeus	42922	2	1907	0039-5528
Anton Elving	42924	2	1907	0039-5528
A. Franck	42925	2	1907	0039-5528
Arvid Th	42925	2	1907	0039-5528
Axel Lille	42926	2	1907	0039-5528
A. Neppenström	42926	2	1907	0039-5528
Verner Palander	42926	2	1907	0039-5528
Bruno Wendelin	42926	2	1907	0039-5528
Arthur Sommer	42926	2	1907	0039-5528
J. Alb	42926	2	1907	0039-5528
Karl Nyström	42926	2	1907	0039-5528
Oskar Lilius	42926	2	1907	0039-5528
Ossian Reuter	42926	2	1907	0039-5528
Carl Sundman	42926	2	1907	0039-5528
W. Brummer	42927	2	1907	0039-5528
Onni Lindebäck	42927	2	1907	0039-5528
Joh. Lagus	42927	2	1907	0039-5528
Otto Lucander	42927	2	1907	0039-5528
J. Alb	42932	1	1907	0039-5528
J. Alb	42934	1	1907	0039-5528
Alarik Hemberg	42935	1	1907	0039-5528
G Gadolinin	42935	1	1907	0039-5528
J. Alb	42964	2	1907	0039-5528
Arvid Th	42968	1	1907	0039-5528
Anders Johan Ohls	42971	3	1907	0039-5528
Alarik Hemberg	43000	8	1907	0039-5528
Herman Sauren	43002	8	1907	0039-5528
Otto Lucander	43061	3	1907	0039-5528
Werner Lindbohm	43062	4	1907	0039-5528
Max von	43071	1	1907	0039-5528
Herman Wiirke	43149	2	1907	0039-5528
Joosef Kraatz	43195	2	1907	0039-5528
O. Reuter	43248	4	1907	0039-5528
O. Reuter	43257	4	1907	0039-5528
E Sundqvist	43257	4	1907	0039-5528
Herman Saurén	43257	4	1907	0039-5528
Wilhelm Boström	43258	4	1907	0039-5528
Johan Troyen	43387	5	1907	0039-5528
Oscar Nordqvist	43398	2	1907	0039-5528
Georg Wobst	43423	2	1907	0039-5528
Jakob Näs	43484	5	1907	0039-5528
Oskar Leino	43596	6	1907	0039-5528
Fredrik Riski	43632	4	1907	0039-5528
Salomon Kukko	43632	4	1907	0039-5528
Hugo Saurén	43656	6	1907	0039-5528
Mimmi Spännär	43866	9	1907	0039-5528
Salomon Yäsänen	43868	9	1907	0039-5528
Gabriel Rauki	43868	9	1907	0039-5528
Herman Spännär	43869	9	1907	0039-5528
Herman Spännär	43875	1	1907	0039-5528
Herman Spännär	43893	5	1907	0039-5528
Matti Niemelä	43935	4	1907	0039-5528
Viktor Rautiainen	43938	7	1907	0039-5528
Fredrik Liukkonen	43938	7	1907	0039-5528
Kaarle Heikkinen	43945	3	1907	0039-5528
Juho Heikkinen	43951	5	1907	0039-5528
Vilho Roponen	43955	6	1907	0039-5528
Kalle Ulmanen	43962	2	1907	0039-5528
Eljas Vehviläinen	43978	1	1907	0039-5528
Villiam Sipari	44023	5	1907	0039-5528
Professori Henking	44045	8	1907	0039-5528
Matti Niemelä	44085	6	1907	0039-5528
Kalastustentarkastaja J.	44124	1	1907	0039-5528
Aaro Pitkänen	44400	4	1907	0039-5528
Herman Wurke	44508	3	1907	0039-5528
T:ri Walter	44531	3	1907	0039-5528
Bruno Hoferin	44543	1	1907	0039-5528
O. Grimm	44559	3	1907	0039-5528
Karl Hah	44740	5	1907	0039-5528
O. Nordqvistfin	44948	2	1907	0039-5528
Ossian Eeuter	44961	3	1907	0039-5528
Julius Sundblom	44962	3	1907	0039-5528
Ossian Reuter	44963	3	1907	0039-5528
Emil Wahrman	44963	3	1907	0039-5528
Herman Saurén	44963	3	1907	0039-5528
Frans Brunström	44963	3	1907	0039-5528
Oskar Rosenqvist	44963	3	1907	0039-5528
Valdemar Udd	44963	3	1907	0039-5528
Valfrid Strömsten Porkkala	44963	3	1907	0039-5528
O. Reuter	44964	3	1907	0039-5528
Julius Sundblom	44970	2	1907	0039-5528
Oscar Krook	45132	14	1907	0039-5528
Eric von Troil	45136	16	1907	0039-5528
Antti Tikka	45146	2	1907	0039-5528
Heikki Soininen	45146	2	1907	0039-5528
Matti Soininen	45148	1	1907	0039-5528
Jussi Immonen	45148	1	1907	0039-5528
Antti Holopainen	45148	1	1907	0039-5528
Kalastustentarkastelija J.	45155	5	1907	0039-5528
Vapaaherra J.	45158	6	1907	0039-5528
Alarik Hemberg	45158	6	1907	0039-5528
Fritz Schröder	45160	1	1907	0039-5528
Onni Lindebäck	45160	1	1907	0039-5528
Otto Lucander	45160	1	1907	0039-5528
Lindström Snappertunasta	45234	1	1907	0039-5528
Otto Korhonen	45238	4	1907	0039-5528
Kalle Lammi	45238	4	1907	0039-5528
Onni Wisuri Huittinen	45238	4	1907	0039-5528
August Korhonen Maaninka	45238	4	1907	0039-5528
Anton Suomalainen	45240	5	1907	0039-5528
Anton Pitkänen	45241	5	1907	0039-5528
Topias Suomalainen	45242	5	1907	0039-5528
Aaro Pitkänen	45243	6	1907	0039-5528
Matti Niemelä	45255	4	1907	0039-5528
Aaro Pitkänen	45275	2	1907	0039-5528
Herman Niemelä	45278	3	1907	0039-5528
Matti Niemelä	45278	3	1907	0039-5528
Herman Niemelä	45281	4	1907	0039-5528
Mooses Tähtinen Tammiosta	45281	4	1907	0039-5528
Aaro Pitkänen	45299	5	1907	0039-5528
J. Alh	45332	5	1907	0039-5528
